learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
4.25E7,56.265625,7.860217010602355E-8,4.25E7,73.6558894117647,44.49784501136684,45.98786644863536,37.55113947413263,4.25E7,5400.0
4.26E7,56.390625,7.877679308876395E-8,4.26E7,73.65653990610329,44.498999246901036,45.988723307711666,37.55181935474394,4.26E7,5400.0
4.27E7,56.515625,7.895141607150435E-8,4.27E7,73.65685714285715,44.49979362645915,45.988834305101875,37.55282961435166,4.27E7,5400.0
4.28E7,56.65625,7.914786692708731E-8,4.28E7,73.65722429906542,44.50058559989507,45.99000231087339,37.553794437718416,4.28E7,5400.0
4.29E7,56.78125,7.932248990982771E-8,4.29E7,73.65771794871794,44.501247371632786,45.99176067504714,37.55373019688455,4.29E7,5400.0
4.3E7,56.921875,7.951894076541066E-8,4.3E7,73.65775813953488,44.501401164345125,45.99164591973913,37.55394281022924,4.3E7,5400.0
4.31E7,57.0625,7.971539162099361E-8,4.31E7,73.65821809744779,44.502365508012836,45.99240298839955,37.55490610801833,4.31E7,5400.0
4.32E7,57.203125,7.991184247657657E-8,4.32E7,73.65806481481482,44.501859720398166,45.9919189934503,37.55413870274322,4.32E7,5400.0
4.33E7,57.328125,8.008646545931697E-8,4.33E7,73.658584295612,44.50268096308392,45.99262333474817,37.55441758321655,4.33E7,5400.0
4.34E7,57.453125,8.026108844205737E-8,4.34E7,73.65905760368663,44.50361496398859,45.993729643367274,37.55525994851136,4.34E7,5400.0
4.35E7,57.59375,8.045753929764032E-8,4.35E7,73.65964137931034,44.505035418839654,45.99485817757245,37.55723324635459,4.35E7,5400.0
4.36E7,57.71875,8.063216228038073E-8,4.36E7,73.65979128440368,44.50526649632978,45.9955088782019,37.55751662896431,4.36E7,5400.0
4.37E7,57.859375,8.082861313596368E-8,4.37E7,73.66010297482838,44.50593108091046,45.9956637143479,37.558119513737616,4.37E7,5400.0
4.38E7,58.0,8.102506399154663E-8,4.38E7,73.66092237442923,44.50742205875021,45.99715243213528,37.55943657922421,4.38E7,5400.0
4.39E7,58.125,8.119968697428703E-8,4.39E7,73.66061047835991,44.50699622372777,45.99674878065264,37.5593896314063,4.39E7,5400.0
4.4E7,58.265625,8.139613782986999E-8,4.4E7,73.66082727272727,44.50736637061017,45.997460734793286,37.55970808774694,4.4E7,5400.0
4.41E7,58.390625,8.157076081261039E-8,4.41E7,73.66120408163266,44.50814023333422,45.997613285486224,37.56025908220308,4.41E7,5400.0
4.42E7,58.53125,8.176721166819334E-8,4.42E7,73.66119004524887,44.50846757125811,45.997676208917795,37.56128490456656,4.42E7,5400.0
4.43E7,58.65625,8.194183465093374E-8,4.43E7,73.66113544018059,44.5084517348954,45.99737311419078,37.56133100911983,4.43E7,5400.0
4.44E7,58.796875,8.21382855065167E-8,4.44E7,73.6613626126126,44.50894828948109,45.99848150160115,37.56171759969839,4.44E7,5400.0
4.45E7,58.921875,8.23129084892571E-8,4.45E7,73.66139325842697,44.50905211602036,45.99912184554341,37.56159907400487,4.45E7,5400.0
4.46E7,59.0625,8.250935934484005E-8,4.46E7,73.66106950672646,44.50846208359854,45.99828081359378,37.56083043846817,4.46E7,5400.0
4.47E7,59.203125,8.2705810200423E-8,4.47E7,73.66087919463087,44.50802736873898,45.99756553953232,37.56016952154796,4.47E7,5400.0
4.48E7,59.328125,8.28804331831634E-8,4.48E7,73.6604375,44.50706448236705,45.996657594353024,37.558877259028606,4.48E7,5400.0
4.49E7,59.453125,8.305505616590381E-8,4.49E7,73.66038752783965,44.50691017258836,45.99651827476515,37.5584520686833,4.49E7,5400.0
4.5E7,59.59375,8.325150702148676E-8,4.5E7,73.6603288888889,44.50678829370122,45.99582987649325,37.55828400878399,4.5E7,5400.0
4.51E7,59.71875,8.342613000422716E-8,4.51E7,73.65968292682928,44.505625409762104,45.99474262306313,37.55710120720834,4.51E7,5400.0
4.52E7,59.859375,8.362258085981011E-8,4.52E7,73.65999336283186,44.50612771983827,45.995321254065026,37.557447262015735,4.52E7,5400.0
4.53E7,60.0,8.381903171539307E-8,4.53E7,73.66001986754966,44.50603723347687,45.99554775974738,37.556889927792234,4.53E7,5400.0
4.54E7,60.125,8.399365469813347E-8,4.54E7,73.65971806167401,44.505471711591774,45.994844294198394,37.55619282516619,4.54E7,5400.0
4.55E7,60.265625,8.419010555371642E-8,4.55E7,73.65986153846154,44.50563473211071,45.99529264303453,37.556160838294765,4.55E7,5400.0
4.56E7,60.390625,8.436472853645682E-8,4.56E7,73.65933771929825,44.50463133560117,45.99462713321556,37.55515236946002,4.56E7,5400.0
4.57E7,60.53125,8.456117939203978E-8,4.57E7,73.65989059080962,44.50565573836954,45.99586205887897,37.555979477053505,4.57E7,5400.0
4.58E7,60.65625,8.473580237478018E-8,4.58E7,73.66023362445415,44.506554971922355,45.9965647807072,37.55711605659711,4.58E7,5400.0
4.59E7,60.796875,8.493225323036313E-8,4.59E7,73.66035511982571,44.50666570790369,45.996458695425915,37.557206788689555,4.59E7,5400.0
4.6E7,60.9375,8.512870408594608E-8,4.6E7,73.66072608695652,44.50704335083323,45.99679102521119,37.55678276733265,4.6E7,5400.0
4.61E7,61.0625,8.530332706868649E-8,4.61E7,73.66113015184382,44.507774735844,45.9973515963539,37.55725529231544,4.61E7,5400.0
4.62E7,61.1875,8.547795005142689E-8,4.62E7,73.66125324675325,44.508132829095615,45.9983677693469,37.558114796588335,4.62E7,5400.0
4.63E7,61.3125,8.565257303416729E-8,4.63E7,73.6611403887689,44.50774588781476,45.998401857370304,37.55747246795229,4.63E7,5400.0
4.64E7,61.453125,8.584902388975024E-8,4.64E7,73.66141810344827,44.508373644122386,45.99875596241269,37.558067166235425,4.64E7,5400.0
4.65E7,61.59375,8.60454747453332E-8,4.65E7,73.66107096774194,44.50754026041335,45.99837037468155,37.556945195465666,4.65E7,5400.0
4.66E7,61.71875,8.62200977280736E-8,4.66E7,73.6617017167382,44.508488292075064,46.00029240050385,37.55737723266522,4.66E7,5400.0
4.67E7,61.84375,8.6394720710814E-8,4.67E7,73.66161670235546,44.50828389582019,45.999779345888314,37.557105941211,4.67E7,5400.0
4.68E7,61.984375,8.659117156639695E-8,4.68E7,73.66095299145299,44.50685116830063,45.99814986091537,37.555697059867974,4.68E7,5400.0
4.69E7,62.125,8.67876224219799E-8,4.69E7,73.66109808102345,44.50682157226708,45.9986495449318,37.55508754661021,4.69E7,5400.0
4.7E7,62.25,8.69622454047203E-8,4.7E7,73.66098936170212,44.50678365566957,45.99827228810936,37.5555592434616,4.7E7,5400.0
4.71E7,62.390625,8.715869626030326E-8,4.71E7,73.66129299363058,44.507495202618344,45.99951682409787,37.55635794536041,4.71E7,5400.0
4.72E7,62.515625,8.733331924304366E-8,4.72E7,73.66190466101695,44.50850009200324,46.00081792058352,37.55664456714201,4.72E7,5400.0
4.73E7,62.65625,8.752977009862661E-8,4.73E7,73.66198520084566,44.50867622812116,46.00121244863825,37.55702274173102,4.73E7,5400.0
4.74E7,62.796875,8.772622095420957E-8,4.74E7,73.66206751054852,44.50906096408098,46.00159795594514,37.55774787188479,4.74E7,5400.0
4.75E7,62.921875,8.790084393694997E-8,4.75E7,73.66270105263158,44.51010790611789,46.00282135759846,37.558453083677946,4.75E7,5400.0
4.76E7,63.0625,8.809729479253292E-8,4.76E7,73.66269537815126,44.51020121033853,46.00204843688776,37.558918183603076,4.76E7,5400.0
4.77E7,63.1875,8.827191777527332E-8,4.77E7,73.66285534591195,44.51046657864577,46.002595420293545,37.55900121185902,4.77E7,5400.0
4.78E7,63.3125,8.844654075801373E-8,4.78E7,73.66292887029289,44.51060010855317,46.00293414573931,37.55920262636713,4.78E7,5400.0
4.79E7,63.453125,8.864299161359668E-8,4.79E7,73.66318371607515,44.510857098051474,46.00331795770666,37.558847923774216,4.79E7,5400.0
4.8E7,63.578125,8.881761459633708E-8,4.8E7,73.66390625,44.512508368052245,46.00461970905007,37.56091371210261,4.8E7,5400.0
4.81E7,63.703125,8.899223757907748E-8,4.81E7,73.66367983367982,44.5120085597182,46.00421138993386,37.56036503697476,4.81E7,5400.0
4.82E7,63.84375,8.918868843466043E-8,4.82E7,73.66316597510374,44.511000874715904,46.00299991037616,37.55952498358487,4.82E7,5400.0
4.83E7,63.96875,8.936331141740084E-8,4.83E7,73.6631552795031,44.51098309942553,46.00317596016338,37.55972610639142,4.83E7,5400.0
4.84E7,64.109375,8.955976227298379E-8,4.84E7,73.66330785123967,44.51128593255219,46.00333368111245,37.56007174418347,4.84E7,5400.0
4.85E7,64.25,8.975621312856674E-8,4.85E7,73.66307422680413,44.51086427672229,46.00349459029239,37.559846748134625,4.85E7,5400.0
4.86E7,64.390625,8.99526639841497E-8,4.86E7,73.663329218107,44.511496444840596,46.003934826343325,37.560717897334115,4.86E7,5400.0
4.87E7,64.515625,9.01272869668901E-8,4.87E7,73.6637227926078,44.51226942060262,46.00438902283724,37.56181011143174,4.87E7,5400.0
4.88E7,64.65625,9.032373782247305E-8,4.88E7,73.66400204918034,44.51304392434747,46.005442826666865,37.563052272908465,4.88E7,5400.0
4.89E7,64.78125,9.049836080521345E-8,4.89E7,73.6642781186094,44.51367900246922,46.00616665429132,37.563839511004886,4.89E7,5400.0
4.9E7,64.90625,9.067298378795385E-8,4.9E7,73.66416734693878,44.513529015289876,46.00606736020879,37.56399003041061,4.9E7,5400.0
4.91E7,65.046875,9.08694346435368E-8,4.91E7,73.66415274949082,44.51338030469072,46.006002394694505,37.563438345149486,4.91E7,5400.0
4.92E7,65.1875,9.106588549911976E-8,4.92E7,73.66416056910569,44.51350372994663,46.00612752967494,37.563588753591276,4.92E7,5400.0
4.93E7,65.296875,9.121868060901761E-8,4.93E7,73.66453955375253,44.51459995941467,46.006963786389505,37.56549827546776,4.93E7,5400.0
4.94E7,65.421875,9.139330359175801E-8,4.94E7,73.66458906882592,44.51463223833487,46.006940575230985,37.56545104387175,4.94E7,5400.0
4.95E7,65.546875,9.156792657449841E-8,4.95E7,73.66435555555556,44.513983209880834,46.00641810758066,37.56441352649454,4.95E7,5400.0
4.96E7,65.6875,9.176437743008137E-8,4.96E7,73.66403024193548,44.51345020830934,46.006093712320926,37.56419884487487,4.96E7,5400.0
4.97E7,65.828125,9.196082828566432E-8,4.97E7,73.66385110663984,44.51327915888827,46.00583153879636,37.56422423760908,4.97E7,5400.0
4.98E7,65.953125,9.213545126840472E-8,4.98E7,73.66342771084338,44.51266466975609,46.004912561688,37.563796558795374,4.98E7,5400.0
4.99E7,66.09375,9.233190212398767E-8,4.99E7,73.66341883767535,44.51272613778866,46.00501667823031,37.56407935176257,4.99E7,5400.0
5.0E7,66.21875,9.250652510672808E-8,5.0E7,73.663758,44.513565360582895,46.005468536234744,37.565209689688004,5.0E7,5400.0
5.01E7,66.359375,9.270297596231103E-8,5.01E7,73.66422754491018,44.51462075938461,46.00682060615797,37.566408510585944,5.01E7,5400.0
5.02E7,66.46875,9.285577107220888E-8,5.02E7,73.66470517928286,44.51550036428799,46.0072990494736,37.56715442610128,5.02E7,5400.0
5.03E7,66.609375,9.305222192779183E-8,5.03E7,73.6641351888668,44.514208160343,46.00619282874865,37.565615432518776,5.03E7,5400.0
5.04E7,66.734375,9.322684491053224E-8,5.04E7,73.66445238095238,44.51504929555558,46.006887692216324,37.566829437718795,5.04E7,5400.0
5.05E7,66.875,9.342329576611519E-8,5.05E7,73.66407920792079,44.514107240349105,46.00548964460786,37.565449493282976,5.05E7,5400.0
5.06E7,67.0,9.359791874885559E-8,5.06E7,73.66424703557313,44.51453729172876,46.00575238333718,37.566155538287134,5.06E7,5400.0
5.07E7,67.125,9.377254173159599E-8,5.07E7,73.66445956607495,44.515008987900444,46.00619224843141,37.56649924518888,5.07E7,5400.0
5.08E7,67.265625,9.396899258717895E-8,5.08E7,73.66445472440944,44.514834852815774,46.00636730188206,37.56598153839949,5.08E7,5400.0
5.09E7,67.40625,9.41654434427619E-8,5.09E7,73.6642416502947,44.51407026527362,46.00629086740718,37.564765681000864,5.09E7,5400.0
5.1E7,67.53125,9.43400664255023E-8,5.1E7,73.66408039215686,44.51380269284492,46.00585475433468,37.5646767357872,5.1E7,5400.0
5.11E7,67.65625,9.45146894082427E-8,5.11E7,73.66408023483366,44.513874213077465,46.006423065325,37.56476870234338,5.11E7,5400.0
5.12E7,67.78125,9.46893123909831E-8,5.12E7,73.663763671875,44.51320387590214,46.006059393621776,37.56403503264284,5.12E7,5400.0
5.13E7,67.90625,9.486393537372351E-8,5.13E7,73.6636686159844,44.51297038037977,46.00613579263791,37.56367927623703,5.13E7,5400.0
5.14E7,68.03125,9.503855835646391E-8,5.14E7,73.66352529182879,44.51265085083052,46.00598296052841,37.563313266682286,5.14E7,5400.0
5.15E7,68.171875,9.523500921204686E-8,5.15E7,73.66371650485436,44.51310209651276,46.006723927761705,37.56399625637695,5.15E7,5400.0
5.16E7,68.28125,9.538780432194471E-8,5.16E7,73.66354069767442,44.51286937344199,46.00673039908044,37.56410084415373,5.16E7,5400.0
5.17E7,68.421875,9.558425517752767E-8,5.17E7,73.66380657640232,44.513431709274364,46.00733265125145,37.564643565357535,5.17E7,5400.0
5.18E7,68.546875,9.575887816026807E-8,5.18E7,73.66388996138996,44.51375819136326,46.007776371804326,37.56526260831489,5.18E7,5400.0
5.19E7,68.703125,9.597715688869357E-8,5.19E7,73.66418304431599,44.51438103331269,46.00823518960137,37.565866663645814,5.19E7,5400.0
5.2E7,68.84375,9.617360774427652E-8,5.2E7,73.66416923076923,44.514198591682224,46.007707759604635,37.5651913054856,5.2E7,5400.0
5.21E7,68.984375,9.637005859985948E-8,5.21E7,73.66404030710173,44.51413415021205,46.007621873779044,37.565504066604404,5.21E7,5400.0
5.22E7,69.109375,9.654468158259988E-8,5.22E7,73.66397318007662,44.51411845544904,46.0078782889272,37.56549026332897,5.22E7,5400.0
5.23E7,69.25,9.674113243818283E-8,5.23E7,73.66353154875716,44.513468089559325,46.0071918686844,37.56512295896387,5.23E7,5400.0
5.24E7,69.375,9.691575542092323E-8,5.24E7,73.6635782442748,44.513868217570774,46.007334634738356,37.56599545164097,5.24E7,5400.0
5.25E7,69.515625,9.711220627650619E-8,5.25E7,73.66343047619047,44.51399339078071,46.006962586348955,37.56676205473807,5.25E7,5400.0
5.26E7,69.640625,9.728682925924659E-8,5.26E7,73.66328136882129,44.51386040774914,46.0065712186485,37.566874057291436,5.26E7,5400.0
5.27E7,69.78125,9.748328011482954E-8,5.27E7,73.66270398481973,44.51258437813404,46.00560252334122,37.56546632807479,5.27E7,5400.0
5.28E7,69.90625,9.765790309756994E-8,5.28E7,73.6629071969697,44.512835226061334,46.00561905599114,37.56535698794412,5.28E7,5400.0
5.29E7,70.03125,9.783252608031034E-8,5.29E7,73.66277126654064,44.512482620795296,46.005228493117215,37.564879579852004,5.29E7,5400.0
5.3E7,70.171875,9.80289769358933E-8,5.3E7,73.66306981132075,44.51275377384869,46.00529256383216,37.564480433722544,5.3E7,5400.0
5.31E7,70.296875,9.82035999186337E-8,5.31E7,73.663131826742,44.51313091309904,46.00564302941393,37.56524455844067,5.31E7,5400.0
5.32E7,70.421875,9.83782229013741E-8,5.32E7,73.6633984962406,44.51370691507467,46.00588579449941,37.565423177346176,5.32E7,5400.0
5.33E7,70.546875,9.85528458841145E-8,5.33E7,73.66326829268293,44.51337412497904,46.00606786971939,37.564934793449574,5.33E7,5400.0
5.34E7,70.6875,9.874929673969746E-8,5.34E7,73.66307303370786,44.513267897502246,46.00582675118789,37.56518258671193,5.34E7,5400.0
5.35E7,70.796875,9.890209184959531E-8,5.35E7,73.66349906542055,44.5141739683015,46.00655254592393,37.566228297383915,5.35E7,5400.0
5.36E7,70.9375,9.909854270517826E-8,5.36E7,73.66378731343283,44.5147752898729,46.00680642240172,37.56689753803792,5.36E7,5400.0
5.37E7,71.0625,9.927316568791866E-8,5.37E7,73.66412662942273,44.51551036599531,46.008019637578904,37.56779262622299,5.37E7,5400.0
5.38E7,71.203125,9.946961654350162E-8,5.38E7,73.66396654275093,44.51529904343542,46.00767831263081,37.5678198471501,5.38E7,5400.0
5.39E7,71.328125,9.964423952624202E-8,5.39E7,73.66409647495362,44.515658106466724,46.008740732564576,37.568516597763605,5.39E7,5400.0
5.4E7,71.46875,9.984069038182497E-8,5.4E7,73.66371296296296,44.51479071245082,46.00812649811121,37.5675973363231,5.4E7,5400.0
5.41E7,71.59375,1.0001531336456537E-7,5.41E7,73.66391866913123,44.514993233234215,46.00850475319117,37.5671830599504,5.41E7,5400.0
5.42E7,71.734375,1.0021176422014832E-7,5.42E7,73.66353136531364,44.51414082401512,46.00816778569945,37.56610632437289,5.42E7,5400.0
