learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.07E7,171.140625,7.614364448171629E-4,3.07E7,99.00945928338763,97.96954113729853,97.96929243969184,97.65201437965149,3.07E7,2.4524608E7,9932.0,6135.0,6135.0,15.0,3930.5675586389166,0.0,1.0196560246122233
3.08E7,171.796875,7.656107623996734E-4,3.08E7,99.01129220779221,97.97329874344084,97.9730236594617,97.65635792625211,3.08E7,2.4587736E7,9942.0,6140.0,6140.0,15.0,3930.5675586389166,0.0,1.0196560246122233
3.09E7,172.46875,7.698924597934823E-4,3.09E7,99.01320388349515,97.97721496745498,97.9769712289641,97.66088098071164,3.09E7,2.4633712E7,9951.0,6146.0,6146.0,15.0,3930.5675586389166,0.0,1.0196560246122233
3.1E7,173.578125,7.769677885678703E-4,3.1E7,99.01508387096774,97.9810727152544,97.98081561891271,97.66535399986405,3.1E7,2.4653048E7,9979.0,6163.0,6163.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.11E7,174.265625,7.813619641819972E-4,3.11E7,99.017115755627,97.98524383704675,97.98499489388158,97.6701950712496,3.11E7,2.4706264E7,10003.0,6178.0,6178.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.12E7,174.90625,7.854649679373125E-4,3.12E7,99.01903846153847,97.9891919213704,97.98894531003597,97.67477797343295,3.12E7,2.4757136E7,10029.0,6197.0,6197.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.13E7,175.625,7.900797562777172E-4,3.13E7,99.02094568690096,97.99308842482344,97.99283563546615,97.67924149356628,3.13E7,2.4818544E7,10066.0,6220.0,6220.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.14E7,176.3125,7.945076891014149E-4,3.14E7,99.02281847133759,97.99692337190909,97.99663043993496,97.68366330194482,3.14E7,2.4896064E7,10078.0,6226.0,6226.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.15E7,176.984375,7.98846055598309E-4,3.15E7,99.02466666666668,98.00072812111964,98.0004324163339,97.68811363979091,3.15E7,2.4959744E7,10097.0,6240.0,6240.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.16E7,177.65625,8.03191725087042E-4,3.16E7,99.0264841772152,98.0044488955477,98.00415698175901,97.69240243806571,3.16E7,2.500176E7,10113.0,6251.0,6251.0,15.0,3922.9219535940288,0.0,1.0196914683429288
